,basic-subset,extension,location,extension-location
Test-MAE,14210.02,13600.91,14631.78,13149.2
Test-MAPE,0.1642,0.1582,0.1723,0.161
Test-RMSE,21555.48,20397.11,20575.02,19163.48
Test-N-RMSE,0.0813,0.0769,0.0776,0.0723
Test-IQR-RMSE,0.3494,0.3306,0.3335,0.3106
Test-CV-RMSE,0.2366,0.2239,0.2259,0.2104
Test-R2,0.7718,0.7957,0.7921,0.8197
Training-Duration,1131.559,921.202,1917.157,1387.358
Test-Duration,7.538e-07,5.522e-07,7.415e-07,6.604e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10)","(10, 10, 10, 10, 10)","(10, 10, 10)"
Learning rate,0.01,0.001,0.001,0.01
Solver,adam,adam,adam,adam
