,basic-subset,extension,location,extension-location
Test-MAE,16997.57,15305.59,15097.01,37039.86
Test-MAPE,0.18,0.1725,0.1731,0.4515
Test-RMSE,26276.7,23040.83,23096.53,49749.38
Test-N-RMSE,0.0921,0.0808,0.081,0.1745
Test-IQR-RMSE,0.4522,0.3965,0.3975,0.8562
Test-CV-RMSE,0.2702,0.2369,0.2375,0.5116
Test-R2,0.7162,0.7818,0.7808,-0.0171
Training-Duration,860.068,986.254,1393.541,798.191
Test-Duration,6.522e-07,6.727e-07,8.914e-07,7.906e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)"
Learning rate,0.01,0.001,0.01,0.01
Solver,adam,adam,adam,adam
