,basic-subset,location,extension,location-extension
Test-MAE,14291.63,12679.81,13963.51,12133.91
Test-MAPE,0.1968,0.1692,0.1937,0.1704
Test-RMSE,19073.82,17010.79,19275.83,17043.34
Test-N-RMSE,0.0845,0.0754,0.0854,0.0755
Test-IQR-RMSE,0.3695,0.3295,0.3734,0.3301
Test-CV-RMSE,0.2201,0.1963,0.2224,0.1967
Test-R2,0.7711,0.818,0.7663,0.8173
Training-Duration,857.814,773.846,907.983,1146.234
Test-Duration,7.837e-07,8.556e-07,7.99e-07,1.0424e-06
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10, 10, 10)"
Learning rate,0.01,0.0001,0.001,0.0001
Solver,adam,adam,adam,adam
