,basic-subset,extension,location,extension-location
Test-MAE,17355.0,15186.56,15349.34,14249.52
Test-MAPE,0.2385,0.2165,0.2027,0.1956
Test-RMSE,24527.55,21084.62,22725.13,20379.28
Test-N-RMSE,0.0908,0.0781,0.0842,0.0755
Test-IQR-RMSE,0.3936,0.3384,0.3647,0.327
Test-CV-RMSE,0.2672,0.2297,0.2475,0.222
Test-R2,0.7039,0.7812,0.7458,0.7956
Training-Duration,1721.983,1390.967,1869.725,946.444
Test-Duration,5.162e-07,5.571e-07,6.415e-07,8.021e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10)","(10, 10, 10)","(10, 10, 10)","(10, 10, 10, 10, 10)"
Learning rate,0.01,0.01,0.01,0.0001
Solver,adam,adam,adam,adam
