,basic-subset,extension,location,extension-location
Test-MAE,14722.05,12839.76,14568.01,12835.2
Test-MAPE,0.1874,0.17,0.1834,0.1592
Test-RMSE,20571.17,17875.15,20835.07,17548.55
Test-N-RMSE,0.1062,0.0922,0.1075,0.0906
Test-IQR-RMSE,0.3827,0.3325,0.3876,0.3265
Test-CV-RMSE,0.2312,0.2009,0.2342,0.1973
Test-R2,0.6952,0.7698,0.6873,0.7782
Training-Duration,1762.694,781.516,1080.65,609.684
Test-Duration,7.702e-07,8.209e-07,8.48e-07,9.131e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)"
Learning rate,0.001,0.001,0.01,0.0001
Solver,adam,adam,adam,adam
