,basic-subset,extension,location,extension-location
Test-MAE,17046.87,14778.88,15939.11,13076.17
Test-MAPE,0.2283,0.2098,0.2131,0.1985
Test-RMSE,24390.3,20740.28,23617.06,18834.81
Test-N-RMSE,0.0903,0.0768,0.0875,0.0698
Test-IQR-RMSE,0.3914,0.3328,0.379,0.3023
Test-CV-RMSE,0.2657,0.2259,0.2572,0.2051
Test-R2,0.7072,0.7883,0.7255,0.8254
Training-Duration,1233.177,1053.167,1891.18,1148.38
Test-Duration,6.505e-07,8.201e-07,9.086e-07,9.602e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)"
Learning rate,0.001,0.001,1e-05,0.001
Solver,adam,adam,adam,adam
