,basic-subset,extension,location,extension-location
Test-MAE,14530.08,13511.39,14136.97,13355.44
Test-MAPE,0.1683,0.1565,0.1658,0.1566
Test-RMSE,22198.83,20385.13,19660.15,19485.13
Test-N-RMSE,0.0837,0.0769,0.0742,0.0735
Test-IQR-RMSE,0.3598,0.3304,0.3186,0.3158
Test-CV-RMSE,0.2437,0.2238,0.2158,0.2139
Test-R2,0.758,0.7959,0.8102,0.8136
Training-Duration,960.56,1072.236,1627.585,1037.217
Test-Duration,6.841e-07,7.185e-07,9.61e-07,8.758e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)"
Learning rate,0.001,0.001,0.01,0.001
Solver,adam,adam,adam,adam
