,basic-subset,extension,location,extension-location
Test-MAE,14387.26,14615.79,14501.04,12878.35
Test-MAPE,0.1673,0.1788,0.1666,0.1547
Test-RMSE,21524.11,20788.15,20579.3,18552.77
Test-N-RMSE,0.0812,0.0784,0.0776,0.07
Test-IQR-RMSE,0.3489,0.3369,0.3335,0.3007
Test-CV-RMSE,0.2363,0.2282,0.2259,0.2037
Test-R2,0.7725,0.7878,0.792,0.831
Training-Duration,1833.618,1053.247,1137.105,882.312
Test-Duration,8.717e-07,8.775e-07,6.055e-07,6.456e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10, 10, 10)","(10, 10, 10)","(10, 10, 10)"
Learning rate,0.001,0.01,0.0001,0.01
Solver,adam,adam,adam,adam
