,basic-subset,extension,location,extension-location
Test-MAE,13287.31,13271.5,14345.41,12512.76
Test-MAPE,0.1682,0.161,0.1694,0.1496
Test-RMSE,18955.32,18326.97,19734.5,17322.3
Test-N-RMSE,0.1023,0.0989,0.1065,0.0935
Test-IQR-RMSE,0.3651,0.353,0.3801,0.3336
Test-CV-RMSE,0.2121,0.2051,0.2208,0.1938
Test-R2,0.7716,0.7865,0.7524,0.8092
Training-Duration,1096.21,622.915,865.956,454.646
Test-Duration,7.567e-07,7.592e-07,9.706e-07,6.645e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10, 10, 10)","(10, 10, 10)"
Learning rate,0.01,0.01,0.001,0.001
Solver,adam,adam,adam,adam
