,basic-subset,extension,location,extension-location
Test-MAE,16544.83,14861.59,15998.88,13698.34
Test-MAPE,0.1707,0.1669,0.1692,0.1497
Test-RMSE,24789.54,21539.69,23007.5,19655.8
Test-N-RMSE,0.0677,0.0588,0.0628,0.0537
Test-IQR-RMSE,0.4172,0.3625,0.3872,0.3308
Test-CV-RMSE,0.2541,0.2207,0.2358,0.2014
Test-R2,0.7662,0.8234,0.7986,0.853
Training-Duration,1665.862,1282.873,1570.786,1188.414
Test-Duration,7.62e-07,8.332e-07,8.619e-07,7.62e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)"
Learning rate,0.01,0.01,0.001,0.0001
Solver,adam,adam,adam,adam
