,basic-subset,extension,location,extension-location
Test-MAE,14620.65,14715.19,14858.96,13690.65
Test-MAPE,0.165,0.1718,0.1726,0.158
Test-RMSE,21424.58,21277.02,21502.33,19959.98
Test-N-RMSE,0.094,0.0934,0.0944,0.0876
Test-IQR-RMSE,0.3833,0.3807,0.3847,0.3571
Test-CV-RMSE,0.2354,0.2338,0.2363,0.2193
Test-R2,0.7077,0.7117,0.7056,0.7463
Training-Duration,1252.238,1131.279,1091.986,691.413
Test-Duration,6.992e-07,8.48e-07,7.33e-07,7.804e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)"
Learning rate,0.01,0.0001,0.01,0.001
Solver,adam,adam,adam,adam
