,basic-subset,extension,location,extension-location
Test-MAE,14555.2,13923.05,13976.1,12572.75
Test-MAPE,0.1698,0.1669,0.1644,0.1505
Test-RMSE,21849.32,20191.18,19891.43,17858.75
Test-N-RMSE,0.0824,0.0762,0.075,0.0674
Test-IQR-RMSE,0.3541,0.3272,0.3224,0.2894
Test-CV-RMSE,0.2399,0.2216,0.2184,0.196
Test-R2,0.7656,0.7998,0.8057,0.8434
Training-Duration,2192.358,1269.805,2034.546,1196.37
Test-Duration,9.152e-07,6.669e-07,7.464e-07,6.612e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)","(10, 10, 10)"
Learning rate,0.001,0.001,0.0001,0.0001
Solver,adam,adam,adam,adam
